gpu,NVIDIA RTX PRO 6000 Blackwell Server Edition
sms,188
blocks,384
threads,1024
data_mb,1024
panels_per_iter,8
mode_table,0=coalesced 8x cs.nc,1=uncoalesced 8x cs.nc,2=uncoalesced 8x p64 once,3=uncoalesced 8x p128 once,4=uncoalesced 8x p256 once,5=uncoalesced 8x mode23 2xp64,6=coalesced 16x cs.nc,7=uncoalesced 16x cs.nc,8=uncoalesced 16x p128 once,9=uncoalesced 16x p256 once,10=uncoalesced 16x 2xp128,11=uncoalesced 16x mode23 4xp64
kind,mode,mode_name,blocks,threads,iters,data_mb,panels_per_iter,panel_bytes,loads_per_thread,ms,GBps,median_cyc,cyc_per_panel,cyc_per_thread_load,sink
throughput,0,coal8_all_cs_nc,384,1024,128,1024,8,131072,8,32.43357,1589.082,35278993,34452.142,4306.518,0x00000000
throughput,1,uncoal8_all_cs_nc,384,1024,128,1024,8,131072,8,35.38640,1456.481,37405319,36528.632,4566.079,0x00000000
throughput,2,uncoal8_p64_once_then_cs,384,1024,128,1024,8,131072,8,34.57155,1490.810,35897153,35055.813,4381.977,0x00000000
throughput,3,uncoal8_p128_once_then_cs,384,1024,128,1024,8,131072,8,34.17475,1508.119,34835843,34019.378,4252.422,0x00000000
throughput,4,uncoal8_p256_once_then_cs,384,1024,128,1024,8,131072,8,34.32941,1501.325,35317688,34489.930,4311.241,0x00000000
throughput,5,uncoal8_mode23_2xp64_then_cs,384,1024,128,1024,8,131072,8,34.35709,1500.116,35409389,34579.481,4322.435,0x00000000
throughput,6,coal16_all_cs_nc,384,1024,128,1024,8,262144,16,64.58633,1595.991,71414865,69741.079,4358.817,0x00000000
throughput,7,uncoal16_all_cs_nc,384,1024,128,1024,8,262144,16,110.31072,934.444,125935696,122984.078,7686.505,0x00000000
throughput,8,uncoal16_p128_once_then_cs,384,1024,128,1024,8,262144,16,83.83401,1229.563,93108834,90926.596,5682.912,0x00000000
throughput,9,uncoal16_p256_once_then_cs,384,1024,128,1024,8,262144,16,83.46109,1235.057,92908636,90731.090,5670.693,0x00000000
throughput,10,uncoal16_2xp128_then_cs,384,1024,128,1024,8,262144,16,71.63245,1439.002,70827297,69167.282,4322.955,0x00000000
throughput,11,uncoal16_mode23_4xp64_then_cs,384,1024,128,1024,8,262144,16,75.01238,1374.163,80951239,79053.944,4940.872,0x00000000
