family,model,mode,routing,route_seed,repeats,E,N,NP,I,IP,H,TOPK,live_experts,assignments,active_n8,active_n256,blocks_per_sm,smem_bytes,i_padding,registers,barriers,spill_bytes,kernel_ms,kernel_min_ms,kernel_p25_ms,kernel_p75_ms,kernel_max_ms,timing_rel_iqr,useful_tflops,max_abs_err,max_rel_err,checksum,raw_status,validation_scope,status,source_csv
scattered,kimi_k2,no_pf_tma_smem,uniform,0x050fc38a,15,384,8,8,2048,2048,7168,8,59,64,59,59,1,16960,1.000000,64,16,0,1.597440,,,,,,2.352574,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_tma_smem,uniform,0x050fc38a,15,384,8,8,2048,2048,7168,8,59,64,59,59,1,16960,1.000000,64,16,0,0.890880,,,,,,4.218409,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_cp_async_ca_smem,uniform,0x050fc38a,15,384,8,8,2048,2048,7168,8,59,64,59,59,1,16960,1.000000,64,1,0,2.309120,,,,,,1.627502,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_cp_async_ca_smem,uniform,0x050fc38a,15,384,8,8,2048,2048,7168,8,59,64,59,59,1,16960,1.000000,64,1,0,2.200576,,,,,,1.707778,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_tma_smem,zipf,0xd64659cb,15,384,8,8,2048,2048,7168,8,42,64,42,42,1,16960,1.000000,64,16,0,1.738752,,,,,,2.161376,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_tma_smem,zipf,0xd64659cb,15,384,8,8,2048,2048,7168,8,42,64,42,42,1,16960,1.000000,64,16,0,0.874496,,,,,,4.297443,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_cp_async_ca_smem,zipf,0xd64659cb,15,384,8,8,2048,2048,7168,8,42,64,42,42,1,16960,1.000000,64,1,0,2.278400,,,,,,1.649445,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_cp_async_ca_smem,zipf,0xd64659cb,15,384,8,8,2048,2048,7168,8,42,64,42,42,1,16960,1.000000,64,1,0,2.188288,,,,,,1.717368,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_tma_smem,burst,0x65691471,15,384,8,8,2048,2048,7168,8,34,64,34,34,1,16960,1.000000,64,16,0,1.726464,,,,,,2.176759,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_tma_smem,burst,0x65691471,15,384,8,8,2048,2048,7168,8,34,64,34,34,1,16960,1.000000,64,16,0,0.878592,,,,,,4.277408,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_cp_async_ca_smem,burst,0x65691471,15,384,8,8,2048,2048,7168,8,34,64,34,34,1,16960,1.000000,64,1,0,2.288640,,,,,,1.642065,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_cp_async_ca_smem,burst,0x65691471,15,384,8,8,2048,2048,7168,8,34,64,34,34,1,16960,1.000000,64,1,0,2.210816,,,,,,1.699869,,,0xa27277745c39a325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_tma_smem,uniform,0x0241b522,15,384,256,256,2048,2048,7168,8,382,2048,1903,382,1,34816,1.000000,64,16,0,63.180801,,,,,,1.903412,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_tma_smem,uniform,0x0241b522,15,384,256,256,2048,2048,7168,8,382,2048,1903,382,1,34816,1.000000,64,16,0,62.945278,,,,,,1.910534,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_cp_async_ca_smem,uniform,0x0241b522,15,384,256,256,2048,2048,7168,8,382,2048,1903,382,1,34816,1.000000,64,1,0,63.637505,,,,,,1.889752,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_cp_async_ca_smem,uniform,0x0241b522,15,384,256,256,2048,2048,7168,8,382,2048,1903,382,1,34816,1.000000,64,1,0,64.043007,,,,,,1.877786,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,no_pf_tma_smem,zipf,0x4eb0af76,15,384,256,256,2048,2048,7168,8,319,2048,1342,319,1,34816,1.000000,64,16,0,45.595650,,,,,,2.637512,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
scattered,kimi_k2,pf32x4_n256_tma_smem,zipf,0x4eb0af76,15,384,256,256,2048,2048,7168,8,319,2048,1342,319,1,34816,1.000000,64,16,0,43.628544,,,,,,2.756431,,,0x8aa7a78634ee2325,PASS,cross_mode_checksum_timing_only,PARTIAL,scattered/combined.csv
