gpu,sms,mode,transport,prefetch,routing,route_seed,repeats,E,N,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,blocks_per_sm,smem_bytes,n256_count,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,partial_load_bytes,partial_store_bytes,final_reduce_bytes,Y_workspace_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_pf_tma_smem,tma,none,balanced_exact_live_scattered,0x6a09e667,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,0,117440512,14680064,58195968,58195968,262144,25198592,229376,1.771520,2.121397,2.121397,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,balanced_exact_live_scattered,0x6a09e667,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,258048,117440512,14680064,58195968,58195968,262144,25198592,229376,0.790528,4.753907,4.753907,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_pf_cp_async_ca_smem,cp_async_ca,none,balanced_exact_live_scattered,0x6a09e667,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,0,117440512,14680064,58195968,58195968,262144,25198592,229376,2.458624,1.528537,1.528537,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,balanced_exact_live_scattered,0x6a09e667,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,258048,117440512,14680064,58195968,58195968,262144,25198592,229376,2.286592,1.643536,1.643536,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_pf_tma_smem,tma,none,balanced_exact_live_scattered,0xbb67ae85,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,0,117440512,14680064,58195968,58195968,262144,25198592,229376,1.785856,2.104367,2.104367,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,balanced_exact_live_scattered,0xbb67ae85,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,258048,117440512,14680064,58195968,58195968,262144,25198592,229376,0.774144,4.854519,4.854519,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_pf_cp_async_ca_smem,cp_async_ca,none,balanced_exact_live_scattered,0xbb67ae85,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,0,117440512,14680064,58195968,58195968,262144,25198592,229376,2.483200,1.513409,1.513409,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pf32x4_n256_cp_async_ca_smem,cp_async_ca,4x32B_n256_K64_stripes_no_wait,balanced_exact_live_scattered,0xbb67ae85,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,258048,117440512,14680064,58195968,58195968,262144,25198592,229376,2.325504,1.616035,1.616035,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_pf_tma_smem,tma,none,balanced_exact_live_scattered,0x3c6ef372,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,0,117440512,14680064,58195968,58195968,262144,25198592,229376,1.742848,2.156296,2.156296,100.0000,0,0,0xa27277745c39a325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pf32x4_n256_tma_smem,tma,4x32B_n256_K64_stripes_no_wait,balanced_exact_live_scattered,0x3c6ef372,20,384,8,2048,7168,8,8,8,8,8,64,8,1,16960,1,229376,28672,258048,117440512,14680064,58195968,58195968,262144,25198592,229376,0.768000,4.893355,4.893355,100.0000,0,0,0xa27277745c39a325,PASS
