gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,1.000000,8,1,40960,3670016,458752,4128768,117440512,14680064,262144,458752,0.520192,7.224441,14.448881,0.881890,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,1.000000,8,1,40960,3670016,458752,4128768,117440512,14680064,262144,458752,0.522240,7.196110,14.392220,0.878431,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,1.000000,8,1,40960,3670016,458752,4128768,117440512,14680064,262144,458752,0.522240,7.196110,14.392220,0.878431,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,1.000000,8,1,40960,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.770048,4.880340,78.085445,4.765957,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,1.000000,8,1,40960,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.770016,4.880543,78.088690,4.766155,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,1.000000,8,1,40960,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.765952,4.906439,78.503017,4.791444,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,16.000000,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,22.031361,5.458541,87.336655,5.330606,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,16.000000,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,22.040577,5.456258,87.300135,5.328377,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,16.000000,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,22.050816,5.453725,87.259600,5.325903,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,5.333333,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,23.372801,5.145258,82.324124,5.024666,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,5.333333,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,23.331841,5.154291,82.468648,5.033487,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,5.333333,8,1,40960,939524096,117440512,1056964608,30064771072,3758096384,67108864,117440512,23.460863,5.125945,82.015113,5.005805,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,32.000000,8,1,40960,1879048192,234881024,2113929216,60129542144,7516192768,134217728,234881024,44.083199,5.456005,87.296086,5.328130,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,32.000000,8,1,40960,1879048192,234881024,2113929216,60129542144,7516192768,134217728,234881024,44.104706,5.453345,87.253517,5.325532,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,32.000000,8,1,40960,1879048192,234881024,2113929216,60129542144,7516192768,134217728,234881024,44.076031,5.456893,87.310283,5.328997,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,10.666667,8,1,40960,1879048192,234881024,2113929216,60129542144,7516192768,134217728,234881024,47.062016,5.110664,81.770631,4.990883,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16_serial_pf32_tma,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,10.666667,8,1,40960,1879048192,234881024,2113929216,60129542144,7516192768,134217728,234881024,47.063042,5.110553,81.768848,4.990774,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
