gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.477152,7.876099,15.752198,0.961438,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.475136,7.909517,15.819034,0.965517,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.479200,7.842438,15.684876,0.957329,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.741376,5.069083,81.105328,4.950276,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.737280,5.097244,81.555910,4.977778,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.739328,5.083124,81.329992,4.963989,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.279328,10.661901,170.590419,10.412013,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.256800,10.683239,170.931828,10.432851,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.273216,10.667682,170.682910,10.417658,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,13.824000,8.699297,139.188751,8.495407,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,13.783040,8.725149,139.602391,8.520654,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,13.859840,8.676802,138.828824,8.473439,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.637535,10.624751,169.996012,10.375733,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.628321,10.629077,170.065236,10.379958,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.617056,10.634371,170.149940,10.385128,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
