gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,0,117440512,14680064,262144,458752,0.509952,7.369510,14.739020,0.899598,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,229376,117440512,14680064,262144,458752,0.514048,7.310789,14.621578,0.892430,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,0,117440512,14680064,262144,458752,0.507872,7.399692,14.799384,0.903283,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,229376,117440512,14680064,262144,458752,0.512000,7.340032,14.680063,0.896000,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,0,117440512,14680064,262144,458752,0.512000,7.340032,14.680063,0.896000,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,229376,117440512,14680064,262144,458752,0.514048,7.310789,14.621578,0.892430,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,0,939524096,117440512,2097152,3670016,0.739328,5.083124,81.329992,4.963989,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,229376,939524096,117440512,2097152,3670016,0.737312,5.097023,81.552369,4.977562,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_no_pf_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,0,939524096,117440512,2097152,3670016,0.731104,5.140303,82.244853,5.019827,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_n256pf4x32_token32_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,229376,939524096,117440512,2097152,3670016,0.733184,5.125721,82.011533,5.005587,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
