mode,N,live_expert_target,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,active_n8_tiles_min,active_n8_tiles_max,active_n16_tiles_min,active_n16_tiles_max,active_n16_pairs_min,active_n16_pairs_max,weight_replay_median,activation_replay,median_ms,min_ms,max_ms,median_useful_tflops,median_issued_tflops,mma_useful_pct,pf_requested_bytes,W_bytes,activation_bytes
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,8,8,3,8,8,8,8,8,8,8,8,8,8,1.000000,8,0.514048,0.512000,0.514048,7.310789,14.621578,50.0000,229376,117440512,66060288
no_workspace_n16x2_no_pf_token32_ca_scalar,8,8,3,8,8,8,8,8,8,8,8,8,8,1.000000,8,0.509952,0.507872,0.512000,7.369510,14.739020,50.0000,0,117440512,66060288
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,8,64,3,64,64,1,1,64,64,64,64,64,64,1.000000,8,0.733216,0.733184,0.737312,5.125497,82.007953,6.2500,229376,939524096,66060288
no_workspace_n16x2_no_pf_token32_ca_scalar,8,64,3,64,64,1,1,64,64,64,64,64,64,1.000000,8,0.733184,0.731104,0.739328,5.125721,82.011533,6.2500,0,939524096,66060288
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,256,128,3,128,128,16,16,2048,2048,2048,2048,1024,1024,8.000000,8,11.220960,11.175936,11.234336,10.717362,171.477789,6.2500,7340032,15032385536,2113929216
no_workspace_n16x2_no_pf_token32_ca_scalar,256,128,3,128,128,16,16,2048,2048,2048,2048,1024,1024,8.000000,8,11.204576,11.182208,11.210720,10.733033,171.728536,6.2500,0,15032385536,2113929216
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,256,384,3,384,384,5,6,2048,2048,2048,2048,1152,1152,3.000000,8,13.944800,13.907936,13.950944,8.623937,137.982997,6.2500,7340032,16911433728,2113929216
no_workspace_n16x2_no_pf_token32_ca_scalar,256,384,3,384,384,5,6,2048,2048,2048,2048,1152,1152,3.000000,8,13.958912,13.919200,13.964256,8.615219,137.843505,6.2500,0,16911433728,2113929216
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,512,128,3,128,128,32,32,4096,4096,4096,4096,2048,2048,16.000000,8,22.468609,22.456320,22.493183,10.704631,171.274097,6.2500,14680064,30064771072,4227858432
no_workspace_n16x2_no_pf_token32_ca_scalar,512,128,3,128,128,32,32,4096,4096,4096,4096,2048,2048,16.000000,8,22.454241,22.453247,22.468576,10.711481,171.383692,6.2500,0,30064771072,4227858432
no_workspace_n16x2_n256pf4x32_token32_ca_scalar,512,384,3,384,384,10,11,4096,4096,4096,4096,2176,2176,5.666667,8,25.910273,25.864161,25.915873,9.282734,148.523744,6.2500,14680064,31943819264,4227858432
no_workspace_n16x2_no_pf_token32_ca_scalar,512,384,3,384,384,10,11,4096,4096,4096,4096,2176,2176,5.666667,8,25.919456,25.889791,25.925632,9.279445,148.471119,6.2500,0,31943819264,4227858432
