gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,2064384,117440512,14680064,262144,229376,0.448480,8.379630,8.379630,0.511452,100.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,2064384,117440512,14680064,262144,229376,0.446432,8.418071,8.418071,0.513798,100.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,2064384,117440512,14680064,262144,229376,0.448480,8.379630,8.379630,0.511452,100.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,16515072,939524096,117440512,2097152,1835008,0.737248,5.097466,40.779725,2.488997,12.5000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,16515072,939524096,117440512,2097152,1835008,0.730112,5.147287,41.178299,2.513324,12.5000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,16515072,939524096,117440512,2097152,1835008,0.734880,5.113891,40.911131,2.497017,12.5000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,16.000000,8,1,4096,1879048192,234881024,528482304,30064771072,3758096384,67108864,58720256,22.551519,5.332638,42.661102,2.603827,12.5000,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,16.000000,8,1,4096,1879048192,234881024,528482304,30064771072,3758096384,67108864,58720256,22.601728,5.320791,42.566332,2.598043,12.5000,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,16.000000,8,1,4096,1879048192,234881024,528482304,30064771072,3758096384,67108864,58720256,22.577152,5.326583,42.612667,2.600871,12.5000,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n8_h128_pf32_actreg_ca_scalar,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,5.333333,8,1,4096,1879048192,234881024,528482304,30064771072,3758096384,67108864,58720256,23.215103,5.180209,41.441671,2.529399,12.5000,393216,0.00680272109,0x79ce6755f5f72325,PASS
