gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.604160,6.220366,12.440732,0.759322,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.604160,6.220366,12.440732,0.759322,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,4096,58720256,7340032,4128768,117440512,14680064,262144,458752,0.606208,6.199351,12.398702,0.756757,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.776192,4.841710,77.467355,4.728232,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.772096,4.867395,77.878326,4.753316,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,4096,58720256,7340032,33030144,939524096,117440512,2097152,3670016,0.774144,4.854519,77.672297,4.740741,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.361280,10.584994,169.359903,10.336908,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.347968,10.597411,169.558579,10.349034,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,4096,1879048192,234881024,1056964608,15032385536,1879048192,67108864,117440512,11.371520,10.575463,169.207401,10.327600,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,14.469120,8.311430,132.982887,8.116631,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,14.424064,8.337393,133.398284,8.141985,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,4096,1879048192,234881024,1056964608,16911433728,2113929216,67108864,117440512,14.515200,8.285045,132.560722,8.090864,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.814720,10.542236,168.675779,10.295153,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.788063,10.554568,168.873093,10.307196,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,4096,3758096384,469762048,2113929216,30064771072,3758096384,134217728,234881024,22.824961,10.537506,168.600102,10.290534,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,2113929216,31943819264,3992977408,134217728,234881024,26.644480,9.026942,144.431069,8.815373,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,2113929216,31943819264,3992977408,134217728,234881024,26.552320,9.058273,144.932369,8.845970,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_actreg_ca_scalar_pipe1,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,4096,3758096384,469762048,2113929216,31943819264,3992977408,134217728,234881024,26.638111,9.029100,144.465600,8.817480,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
