gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.528352,7.112865,14.225729,0.868270,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.526336,7.140109,14.280218,0.871595,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.530400,7.085401,14.170801,0.864917,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.774144,4.854519,77.672297,4.740741,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.774144,4.854519,77.672297,4.740741,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.772096,4.867395,77.878326,4.753316,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.490304,10.466136,167.458176,10.220836,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.486208,10.469868,167.517892,10.224481,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.410432,10.539398,168.630370,10.292381,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.891552,8.656994,138.511907,8.454096,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.867008,8.672317,138.757064,8.469059,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.905920,8.648049,138.368791,8.445361,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.960096,10.475486,167.607776,10.229967,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.976513,10.468001,167.488022,10.222658,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.850559,10.525702,168.411226,10.279005,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,77824,1879048192,234881024,2113929216,31943819264,3992977408,134217728,234881024,25.878529,9.294121,148.705931,9.076290,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,77824,1879048192,234881024,2113929216,31943819264,3992977408,134217728,234881024,25.844704,9.306285,148.900554,9.088169,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_mech,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,384,384,10,11,4096,4096,4096,2176,5.666667,8,1,77824,1879048192,234881024,2113929216,31943819264,3992977408,134217728,234881024,25.872353,9.296339,148.741429,9.078456,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
