gpu,sms,mode,routing,route_seed,repeats,E,N,NP,I,H,TOPK,live_expert_target,live_experts,min_tokens_per_live_expert,max_tokens_per_live_expert,assignments,active_n8_tiles,active_n16_tiles,active_n16_pairs,weight_replay,activation_replay,blocks_per_sm,smem_bytes,x4_global_bytes,sx_global_bytes,pf_requested_bytes,W_bytes,S_bytes,reduce_bytes,mma_inst,kernel_ms,useful_tflops,issued_mma_tflops,mma_ginst_s,mma_useful_pct,max_abs_err,max_rel_err,checksum,status
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.530432,7.084973,14.169946,0.864865,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.528384,7.112435,14.224869,0.868217,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,8,8,8,8,64,8,8,8,1.000000,8,1,77824,3670016,458752,4128768,117440512,14680064,262144,458752,0.532480,7.057723,14.115446,0.861538,50.0000,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x6a09e667,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.776160,4.841909,77.470550,4.728427,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0xbb67ae85,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.774144,4.854519,77.672297,4.740741,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x3c6ef372,20,384,8,16,2048,7168,8,64,64,1,1,64,64,64,64,1.000000,8,1,77824,29360128,3670016,33030144,939524096,117440512,2097152,3670016,0.773152,4.860747,77.771955,4.746823,6.2500,393216,0.00680272109,0x2350f514638b0325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.484160,10.471735,167.547759,10.226304,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.475968,10.479210,167.667363,10.233604,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,128,128,16,16,2048,2048,2048,1024,8.000000,8,1,77824,939524096,117440512,1056964608,15032385536,1879048192,67108864,117440512,11.408352,10.541320,168.661115,10.294257,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x6a09e667,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.867616,8.671937,138.750986,8.468688,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0xbb67ae85,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.865952,8.672977,138.767638,8.469704,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x3c6ef372,20,384,256,256,2048,7168,8,384,384,5,6,2048,2048,2048,1152,3.000000,8,1,77824,939524096,117440512,1056964608,16911433728,2113929216,67108864,117440512,13.883360,8.662102,138.593637,8.459084,6.2500,393216,0.00680272109,0x79ce6755f5f72325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x6a09e667,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.951937,10.479210,167.667363,10.233604,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0xbb67ae85,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.952415,10.478992,167.663865,10.233390,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,no_workspace_n16x2_pf32_tma_ldmatrix_x4,balanced_exact_live_scattered,0x3c6ef372,20,384,512,512,2048,7168,8,128,128,32,32,4096,4096,4096,2048,16.000000,8,1,77824,1879048192,234881024,2113929216,30064771072,3758096384,134217728,234881024,22.831072,10.534686,168.554973,10.287779,6.2500,393216,0.00680272109,0x6bd1579367cc2325,PASS
