gpu,sms,path,method,destination,pf_shape,routing,route_seed,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.997440,6079427,3758096384,469762048,58720256,1879048192,1879048192,0,19.590135,626.884318,626.884318,0.000000,1430.079850,2037.374033,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.918384,6228629,3758096384,469762048,58720256,1879048192,1879048192,58720256,20.120812,643.865970,643.865970,20.120812,1468.819243,2092.564401,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.927568,6198532,3758096384,469762048,58720256,1879048192,1879048192,58720256,20.057692,641.846139,641.846139,20.057692,1464.211505,2085.999953,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.926192,6191206,3758096384,469762048,58720256,1879048192,1879048192,116916224,20.067123,642.147939,642.147939,39.955075,1464.899987,2086.980803,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.931264,6200690,3758096384,469762048,58720256,1879048192,1879048192,116916224,20.032402,641.036850,641.036850,39.885942,1462.365314,2083.369762,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.938240,6190230,3758096384,469762048,58720256,1879048192,1879048192,116916224,19.984840,639.514866,639.514866,39.791243,1458.893288,2078.423314,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,2.981360,6257085,3758096384,469762048,58720256,1879048192,58720256,0,19.695795,630.265455,19.695795,0.000000,1437.793070,2048.362730,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.000976,6206328,3758096384,469762048,58720256,1879048192,58720256,58720256,19.567052,626.145673,19.567052,19.567052,1428.394817,2034.973439,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.007280,6183428,3758096384,469762048,58720256,1879048192,58720256,58720256,19.526036,624.833162,19.526036,19.526036,1425.400651,2030.707777,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,384,128,2048,7168,8,128,128,1024,1,15,3.031776,6235833,3758096384,469762048,58720256,1879048192,58720256,116916224,19.368270,619.784648,19.368270,38.563610,1413.883729,2014.300107,0x97e5db212fc014ab
