gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.051152,4779994,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,0,1763672064,1.789246,1.789246,1.789246,0.503226,2.292472,2.292472,0.000000,859.844649,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.089504,4861733,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.756405,1.756405,1.756405,0.493989,2.250394,2.250394,1.756405,845.818949,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf64x2_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.068352,4809447,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.774367,1.774367,1.774367,0.499041,2.273408,2.273408,1.774367,854.468724,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.062960,4789794,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.779005,1.779005,1.779005,0.500345,2.279350,2.279350,1.779005,856.701998,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.119008,4990753,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,3670016,1767342080,1.731950,1.731950,1.731950,0.487111,2.219061,2.219061,1.731950,834.042168,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,1.910320,4443713,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,0,1756332032,1.921152,1.921152,1.921152,0.540324,0.540324,0.540324,0.000000,919.391511,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf128_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,1.922208,4443575,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.909271,1.909271,1.909271,0.536982,0.536982,0.536982,1.909271,915.614743,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,1.922448,4435545,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.909033,1.909033,1.909033,0.536915,0.536915,0.536915,1.909033,915.500508,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,pf32x4_current_wait0_cta_nc_actcomp_smem,cta_nc,cta_nc_rmem_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,4x32B_current_thread_groups_wait0,uniform_hash_scattered_pool,0x6a09e667,20,0,384,8,2048,7168,8,128,53,64,1,3,2.002256,4695495,1556086784,194510848,3670016,3670016,3670016,1032192,1032192,1032192,3670016,1760002048,1.832941,1.832941,1.832941,0.515515,0.515515,0.515515,1.832941,879.009538,0x6de879f08627afd3
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,actcomp,no_pf_tma_smem,tma,tma_raw_smem_cta_actcomp_packed_smem,actcomp_packed_smem_producer,packed_smem,none,uniform_hash_scattered_pool,0x6a09e667,20,128,384,8,2048,7168,8,128,53,64,1,3,2.084832,4807062,1556086784,194510848,3670016,3670016,3670016,1032192,4702208,4702208,0,1763672064,1.760341,1.760341,1.760341,0.495096,2.255437,2.255437,0.000000,845.954064,0x6de879f08627afd3
