N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,6,27,3.261456,3.255408,3.262144,no_pf_tma_smem,3.422208,1.049288,4.6973,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,6,27,3.244000,3.230976,3.246592,no_pf_tma_smem,3.422208,1.054935,5.2074,no_pf_cta_nc_actcomp_smem,1.005381,0.5352
256,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,6,27,3.254800,3.245520,3.259888,no_pf_tma_smem,3.422208,1.049793,4.7431,no_pf_cta_nc_actcomp_smem,1.000481,0.0481
256,128,0,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,6,27,3.300016,3.277776,3.303072,no_pf_tma_smem,3.422208,1.037028,3.5706,no_pf_cta_nc_actcomp_smem,0.988315,-1.1823
256,128,0,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,6,27,3.422208,3.400432,3.430832,no_pf_tma_smem,3.422208,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,128,0,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,6,27,3.445568,3.435968,3.456576,no_pf_tma_smem,3.422208,0.992552,-0.7504,no_pf_tma_smem,0.992552,-0.7504
256,128,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,6,27,3.432880,3.401312,3.433200,no_pf_tma_smem,3.422208,0.999310,-0.0690,no_pf_tma_smem,0.999310,-0.0690
256,128,0,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,3.441648,3.437168,3.443344,no_pf_tma_smem,3.422208,0.993862,-0.6176,no_pf_tma_smem,0.993862,-0.6176
256,128,0,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,6,27,3.429744,3.405312,3.430368,no_pf_tma_smem,3.422208,0.998567,-0.1435,no_pf_tma_smem,0.998567,-0.1435
256,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,6,27,3.290064,3.277408,3.290768,no_pf_tma_smem,3.466064,1.053818,5.1070,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,6,27,3.267424,3.265408,3.284064,no_pf_tma_smem,3.466064,1.055970,5.3003,no_pf_cta_nc_actcomp_smem,1.003675,0.3661
256,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,6,27,3.288400,3.281248,3.298016,no_pf_tma_smem,3.466064,1.051502,4.8980,no_pf_cta_nc_actcomp_smem,0.998830,-0.1172
256,128,128,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,6,27,3.338320,3.315360,3.338944,no_pf_tma_smem,3.466064,1.038808,3.7358,no_pf_cta_nc_actcomp_smem,0.985756,-1.4450
256,128,128,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,6,27,3.466064,3.441280,3.467872,no_pf_tma_smem,3.466064,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,128,128,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,6,27,3.474976,3.462240,3.483440,no_pf_tma_smem,3.466064,0.995531,-0.4489,no_pf_tma_smem,0.995531,-0.4489
256,128,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,6,27,3.445968,3.422960,3.461264,no_pf_tma_smem,3.466064,1.001909,0.1905,no_pf_tma_smem,1.001909,0.1905
256,128,128,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,3.472768,3.444944,3.474192,no_pf_tma_smem,3.466064,0.998181,-0.1822,no_pf_tma_smem,0.998181,-0.1822
256,128,128,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,6,27,3.442304,3.432160,3.457856,no_pf_tma_smem,3.466064,1.002897,0.2888,no_pf_tma_smem,1.002897,0.2888
