gpu,sms,path,method,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,pf_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,pf_requested_GBps,total_useful_GBps,total_consumer_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.994848,6087802,3758096384,469762048,58720256,1879048192,1879048192,0,19.607092,627.426946,627.426946,0.000000,1431.317720,2039.137574,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.922144,6233298,3758096384,469762048,58720256,1879048192,1879048192,58720256,20.094923,643.037521,643.037521,20.094923,1466.929344,2089.871942,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.917904,6206841,3758096384,469762048,58720256,1879048192,1879048192,58720256,20.124123,643.971925,643.971925,20.124123,1469.060954,2092.908757,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.932064,6192467,3758096384,469762048,58720256,1879048192,1879048192,116916224,20.026935,640.861917,640.861917,39.875058,1461.966248,2082.801230,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,rmem,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.930240,6190387,3758096384,469762048,58720256,1879048192,1879048192,116916224,20.039402,641.260868,641.260868,39.899881,1462.876355,2084.097821,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,rmem,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.933200,6189438,3758096384,469762048,58720256,1879048192,1879048192,116916224,20.019180,640.613755,640.613755,39.859617,1461.400129,2081.994705,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.983568,6259833,3758096384,469762048,58720256,1879048192,58720256,0,19.681220,629.799026,19.681220,0.000000,1436.729029,2046.846836,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,2.996688,6200290,3758096384,469762048,58720256,1879048192,58720256,58720256,19.595052,627.041675,19.595052,19.595052,1430.438820,2037.885442,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.011264,6197203,3758096384,469762048,58720256,1879048192,58720256,58720256,19.500203,624.006493,19.500203,19.500203,1423.514811,2028.021101,0x97e5db212fc014ab
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,128,2048,7168,8,128,128,1024,1,15,3.030256,6223077,3758096384,469762048,58720256,1879048192,58720256,116916224,19.377987,620.095569,19.377987,38.582955,1414.593017,2015.310600,0x97e5db212fc014ab
