gpu,sms,path,method,transport,pipeline,comparison,destination,pf_shape,routing,route_seed,repeats,flush_mb,E,N,I,H,TOPK,expert_pool,live_experts,assignments,min_tokens_per_live_expert,max_tokens_per_live_expert,ms,median_live_CTA_cyc,W_bytes,S_bytes,X_useful_bytes,X_consumer_bytes,X_global_bytes,X_packed_bytes,X_smem_read_bytes,X_smem_write_bytes,pf_requested_bytes,pipeline_requested_bytes,X_useful_GBps,X_consumer_GBps,X_global_GBps,X_packed_GBps,X_smem_read_GBps,X_smem_write_GBps,pf_requested_GBps,pipeline_requested_GBps,checksum
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.585536,3658254,1556086784,194510848,3670016,117440512,117440512,0,0,0,0,1868038144,2.314685,74.069912,74.069912,0.000000,0.000000,0.000000,0.000000,1178.174536,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.571328,3654012,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,2.335614,74.739658,74.739658,0.000000,0.000000,0.000000,2.335614,1191.163302,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.579664,3650565,1556086784,194510848,3670016,117440512,117440512,0,0,0,3670016,1871708160,2.323289,74.345248,74.345248,0.000000,0.000000,0.000000,2.323289,1184.877398,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.584784,3673283,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,2.315783,74.105058,74.105058,0.000000,0.000000,0.000000,4.610889,1183.344463,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_lead1_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x64B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.604192,3712919,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,2.287766,73.208513,73.208513,0.000000,0.000000,0.000000,4.555106,1169.028013,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x4_current_wait0_lead1_async_direct,warp_direct,warp32_global_consumer,warp_consumer,rmem_sink,4x64B_current_wait0_lead1_async,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.627216,3761494,1556086784,194510848,3670016,117440512,117440512,0,0,0,7307264,1875345408,2.255396,72.172664,72.172664,0.000000,0.000000,0.000000,4.490654,1152.487088,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,no_pf_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,none,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.630880,3759689,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,0,1875378176,2.250329,72.010517,2.250329,0.000000,72.010517,2.250329,0.000000,1149.917945,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,1x128B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.669232,3818232,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,2.198625,70.356015,2.198625,0.000000,70.356015,2.198625,2.198625,1125.696236,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf64x2_current_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,2x64B_current,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.682944,3856055,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,3670016,1879048192,2.180712,69.782778,2.180712,0.000000,69.782778,2.180712,2.180712,1116.524451,0x088f8319abe6451a
NVIDIA RTX PRO 6000 Blackwell Server Edition,188,pure,pf128x2_current_lead1_tma_smem,tma,tma_raw_smem_warp32_shared_consumer,warp_consumer,smem_then_rmem,2x128B_current_lead1,uniform_hash_scattered_pool,0x6a09e667,20,512,384,8,2048,7168,8,128,53,64,1,3,1.680864,3870911,1556086784,194510848,3670016,117440512,3670016,0,117440512,3670016,7307264,1882685440,2.183410,69.869130,2.183410,0.000000,69.869130,2.183410,4.347326,1120.069995,0x088f8319abe6451a
