N,expert_pool,flush_mb,path,comparison,transport,method,seeds,live_experts_min,live_experts_max,tokens_per_live_expert_min,tokens_per_live_expert_max,median_ms,min_ms,max_ms,standard_baseline,tma_baseline_median_ms,median_speedup_vs_tma,median_time_reduction_vs_tma_pct,transport_no_pf_baseline,median_speedup_vs_transport_no_pf,median_time_reduction_vs_transport_no_pf_pct
256,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,no_pf_cta_nc_actcomp_smem,3,128,128,6,27,3.275984,3.268128,3.276768,no_pf_tma_smem,3.422304,1.044414,4.2526,no_pf_cta_nc_actcomp_smem,1.000000,0.0000
256,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf128_current_cta_nc_actcomp_smem,3,128,128,6,27,3.249792,3.249120,3.262048,no_pf_tma_smem,3.422304,1.049765,4.7406,no_pf_cta_nc_actcomp_smem,1.005850,0.5816
256,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_cta_nc_actcomp_smem,3,128,128,6,27,3.256912,3.253872,3.263216,no_pf_tma_smem,3.422304,1.049389,4.7065,no_pf_cta_nc_actcomp_smem,1.004381,0.4362
256,128,512,actcomp,actcomp_packed_smem_producer,cta_nc,pf32x4_current_wait0_cta_nc_actcomp_smem,3,128,128,6,27,3.303088,3.302032,3.307088,no_pf_tma_smem,3.422304,1.035468,3.4253,no_pf_cta_nc_actcomp_smem,0.990595,-0.9495
256,128,512,actcomp,actcomp_packed_smem_producer,tma,no_pf_tma_smem,3,128,128,6,27,3.422304,3.396224,3.424384,no_pf_tma_smem,3.422304,1.000000,0.0000,no_pf_tma_smem,1.000000,0.0000
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128_current_tma_smem,3,128,128,6,27,3.436896,3.420688,3.438320,no_pf_tma_smem,3.422304,0.995342,-0.4680,no_pf_tma_smem,0.995342,-0.4680
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf128x2_current_lead1_tma_smem,3,128,128,6,27,3.467952,3.448336,3.469968,no_pf_tma_smem,3.422304,0.986264,-1.3927,no_pf_tma_smem,0.986264,-1.3927
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_tma_smem,3,128,128,6,27,3.418560,3.406944,3.428032,no_pf_tma_smem,3.422304,0.998329,-0.1674,no_pf_tma_smem,0.998329,-0.1674
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf32x4_current_wait0_tma_smem,3,128,128,6,27,3.432160,3.429104,3.434016,no_pf_tma_smem,3.422304,0.997128,-0.2880,no_pf_tma_smem,0.997128,-0.2880
256,128,512,actcomp,actcomp_packed_smem_producer,tma,pf64x2_current_tma_smem,3,128,128,6,27,3.426832,3.390720,3.435504,no_pf_tma_smem,3.422304,0.999286,-0.0715,no_pf_tma_smem,0.999286,-0.0715
