gpu,NVIDIA RTX PRO 6000 Blackwell Server Edition
sms,188
blocks,384
threads,1024
dynamic_smem_bytes,65536
data_mb,512
mode_table,0=mixed even ca.nc odd cs,1=ca.nc both parity paths,2=ca both parity paths,3=cg both parity paths,4=mixed even ca.nc odd ca,5=mixed even ca.nc odd cg,6=ca.nc all lanes uniform,7=mixed even cs.nc odd cs,8=cs.nc both parity paths,9=mixed even cs.nc odd ca,10=mixed even cs.nc odd cg,11=cs.nc all lanes uniform,12-23=same modes with first load ld.global.nc.L1::evict_first.L2::64B and second adjacent load plain,24=TMA bulk 16KB to SMEM then ld.shared,25=TMA bulk 32KB to SMEM then 2x ld.shared,26=warp-stagger 2 lanes at a time all cs.nc,27=stagger only p64 prefetch load then all-lane cs.nc consume,TMA modes also emit tma_dep dependent-source row
kind,mode,mode_name,blocks,threads,iters,data_mb,ms,GBps,median_cyc,cyc_per_thread_load,sink
throughput,0,mixed_even_ca_nc_odd_cs,384,1024,2048,512,7.28752,1768.078,7714437,3766.815,0x00000000
latency,0,mixed_even_ca_nc_odd_cs,384,1024,512,512,12.78288,251.995,13453826,26277.004,0x68543000
throughput,1,ca_nc_even_ca_nc_odd,384,1024,2048,512,8.15101,1580.774,8568737,4183.954,0x00000000
latency,1,ca_nc_even_ca_nc_odd,384,1024,512,512,12.27962,262.323,12935765,25265.166,0x518f9000
throughput,2,ca_even_ca_odd,384,1024,2048,512,8.18566,1574.081,8656868,4226.986,0x00000000
latency,2,ca_even_ca_odd,384,1024,512,512,12.29690,261.954,12933656,25261.047,0x75497800
throughput,3,cg_even_cg_odd,384,1024,2048,512,8.25987,1559.940,8812443,4302.951,0x00000000
latency,3,cg_even_cg_odd,384,1024,512,512,12.22768,263.437,13033725,25456.494,0x7d222000
throughput,4,mixed_even_ca_nc_odd_ca,384,1024,2048,512,8.20387,1570.588,8686788,4241.596,0x00000000
latency,4,mixed_even_ca_nc_odd_ca,384,1024,512,512,12.52208,257.244,13389273,26150.924,0x0fe8b800
throughput,5,mixed_even_ca_nc_odd_cg,384,1024,2048,512,8.07219,1596.209,7985054,3898.952,0x00000000
latency,5,mixed_even_ca_nc_odd_cg,384,1024,512,512,12.43571,259.030,13371625,26116.455,0x4f0b9000
throughput,6,ca_nc_all_lanes_uniform,384,1024,2048,512,8.13747,1583.404,8539917,4169.881,0x00000000
latency,6,ca_nc_all_lanes_uniform,384,1024,512,512,12.27955,262.324,12948736,25290.500,0x7e47f800
throughput,7,mixed_even_cs_nc_odd_cs,384,1024,2048,512,8.17891,1575.381,8680631,4238.589,0x00000000
latency,7,mixed_even_cs_nc_odd_cs,384,1024,512,512,12.70634,253.513,13352395,26078.896,0x2a030000
throughput,8,cs_nc_even_cs_nc_odd,384,1024,2048,512,8.19309,1572.655,8694803,4245.509,0x00000000
latency,8,cs_nc_even_cs_nc_odd,384,1024,512,512,12.52186,257.248,12974698,25341.207,0x7e029000
