rank,mode,scope,registers,barriers,spill_bytes,geomean_ms,geomean_speedup_vs_kernel_stream,median_timing_iqr_pct,p95_timing_iqr_pct,max_rel_err,N8_speedup,N256_speedup,N512_speedup,uniform_speedup,zipf_speedup,burst_speedup,winner_cells,status,note
1,actreg,63/63,56,0,0,1.689902,1.535181,0.549500,1.254000,0.00826446281,1.252780,1.707930,1.690962,1.187274,1.692597,1.800423,1,PASS,I1024 lineage tile padding
2,zerowire,63/63,56,0,0,1.690149,1.534957,0.533700,1.451400,0.00826446281,1.251395,1.709047,1.690986,1.187795,1.691699,1.799796,2,PASS,I1024 lineage tile padding
3,mech,63/63,56,2,0,1.706268,1.520456,0.260800,0.716000,0.00826446281,1.142266,1.759246,1.749153,1.158008,1.686843,1.799432,2,PASS,I1024 lineage tile padding
4,ldmatrix,63/63,56,2,0,1.706474,1.520273,0.278600,0.956900,0.00826446281,1.137134,1.762689,1.752983,1.157975,1.688120,1.797473,31,PASS,I1024 lineage tile padding
5,serial,63/63,58,2,0,1.718382,1.509738,0.230200,0.758500,0.00826446281,1.130935,1.750209,1.738508,1.153196,1.675150,1.781343,0,PASS,I1024 lineage tile padding
6,actreg_pipews,63/63,62,0,0,1.962149,1.322176,0.274200,0.729900,0.00826446281,1.029358,1.506141,1.490854,1.084925,1.446760,1.472554,0,PASS,I1024 lineage tile padding
7,actreg_pipe,63/63,56,0,0,2.004282,1.294382,0.456700,1.389200,0.00826446281,1.056106,1.439308,1.426678,1.070630,1.405232,1.441450,0,PASS,I1024 lineage tile padding
8,n256_outer_stream,63/63,56,1,0,2.594306,1.000000,0.183400,1.744300,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,9,TIMING_ONLY,I64 native stream board; numerical reference pending
9,n8h128,63/63,57,0,0,2.846987,0.911246,0.242900,0.867200,0.00826446281,1.304654,0.773666,0.749650,0.727957,0.997685,1.041857,18,PASS,I1024 lineage tile padding
,n256pf_off,63/63,56,0,0,1.737163,1.493415,0.359300,1.007800,8.06122449,1.212420,1.662157,1.652786,1.173334,1.641361,1.729482,,INVALID_NUMERIC,invalid: numerical reference failures
,n256pf_on,63/63,56,0,0,1.739188,1.491677,0.392500,1.016500,8.06122449,1.211657,1.660054,1.650146,1.172824,1.639032,1.726649,,INVALID_NUMERIC,invalid: numerical reference failures
,pf32x4_n256_tma_smem,45/63,64,16,0,5.533045,0.391967,,,,0.702180,0.396426,0.216340,0.280921,0.448083,0.478415,,PARTIAL,partial: H2880 misaligned-address fault
,no_pf_tma_smem,45/63,64,16,0,7.693621,0.281892,,,,0.286898,0.371527,0.210150,0.210009,0.310239,0.343806,,PARTIAL,partial: H2880 misaligned-address fault
,no_pf_cp_async_ca_smem,45/63,64,1,0,8.602117,0.252120,,,,0.219015,0.351609,0.208109,0.186559,0.282596,0.303977,,PARTIAL,partial: H2880 misaligned-address fault
,pf32x4_n256_cp_async_ca_smem,45/63,64,1,0,8.627105,0.251390,,,,0.219946,0.348301,0.207383,0.186723,0.281517,0.302234,,PARTIAL,partial: H2880 misaligned-address fault
